Date,Time,Src IP,Dst IP,Byte Size
2024-03-27,14:32:51,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:32:51,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:32:51,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:32:51,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:33:20,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:33:20,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:33:20,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:33:20,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:33:49,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:33:49,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:33:49,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:33:49,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:34:18,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:34:18,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:34:18,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:34:47,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:34:47,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:34:47,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:35:16,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:35:16,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:35:16,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:35:16,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:35:45,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:35:45,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:35:45,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:35:45,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:36:14,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:36:14,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:36:14,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:36:14,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:36:43,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:36:43,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:36:43,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:36:43,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:37:12,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:37:12,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:37:12,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:37:12,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:37:41,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:37:41,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:37:41,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:38:10,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:38:10,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:38:10,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:38:39,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:38:39,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:38:39,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:39:08,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
