Date,Time,Src IP,Dst IP,Byte Size
2024-04-11,10:39:34,"('10.3.141.107', 49156)","('52.223.21.95', 443)",[320]
2024-04-11,10:39:34,"('52.223.21.95', 443)","('10.3.141.107', 49156)",[480]
2024-04-11,10:39:34,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,10:39:34,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[160]
2024-04-11,10:39:34,"('10.3.141.107', 49157)","('52.223.21.95', 443)",[176]
2024-04-11,10:39:34,"('10.3.141.107', 49156)","('52.223.21.95', 443)",[320]
2024-04-11,10:39:34,"('52.223.21.95', 443)","('10.3.141.107', 49156)",[480]
2024-04-11,10:39:34,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,10:39:34,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[160]
2024-04-11,10:39:35,"('10.3.141.107', 49157)","('52.223.21.95', 443)",[176]
2024-04-11,10:39:38,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,10:39:38,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[272]
2024-04-11,10:39:38,"('10.3.141.107', 49157)","('52.223.21.95', 443)",[176]
2024-04-11,10:39:39,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[28]
2024-04-11,10:39:39,"('54.208.230.204', 443)","('10.3.141.106', 41080)",[56]
2024-04-11,10:39:39,"('10.3.141.106', 41080)","('54.208.230.204', 443)",[28]
2024-04-11,10:39:39,"('10.3.141.106', 41080)","('54.208.230.204', 443)",[60]
2024-04-11,10:39:43,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,10:39:43,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[272]
2024-04-11,10:39:43,"('10.3.141.107', 49157)","('52.223.21.95', 443)",[176]
2024-04-11,10:39:48,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,10:39:48,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[272]
2024-04-11,10:39:48,"('10.3.141.107', 49157)","('52.223.21.95', 443)",[176]
2024-04-11,10:39:52,"('10.3.141.228', 58004)","('13.225.63.7', 443)","[122, 1, 27]"
2024-04-11,10:39:52,"('13.225.63.7', 443)","('10.3.141.228', 58004)","[1, 53]"
2024-04-11,10:39:52,"('13.225.63.7', 443)","('10.3.141.228', 58004)",[110]
2024-04-11,10:39:52,"('10.3.141.228', 58004)","('13.225.63.7', 443)",[141]
2024-04-11,10:39:52,"('10.3.141.228', 58004)","('13.225.63.7', 443)",[496]
2024-04-11,10:39:52,"('13.225.63.7', 443)","('10.3.141.228', 58004)",[19]
2024-04-11,10:39:53,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,10:39:53,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[272]
2024-04-11,10:39:53,"('10.3.141.107', 49157)","('52.223.21.95', 443)",[176]
2024-04-11,10:39:58,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,10:39:58,"('52.223.21.95', 443)","('10.3.141.107', 49157)",[272]
2024-04-11,10:39:58,"('10.3.141.107', 49157)","('52.223.21.95', 443)",[176]
