Date,Time,Src IP,Dst IP,Byte Size
2024-04-11,07:57:49,"('35.71.188.139', 443)","('10.3.141.107', 49156)",[480]
2024-04-11,07:57:49,"('10.3.141.107', 49156)","('35.71.188.139', 443)",[288]
2024-04-11,07:57:49,"('35.71.188.139', 443)","('10.3.141.107', 49156)",[480]
2024-04-11,07:57:49,"('10.3.141.107', 49156)","('35.71.188.139', 443)",[336]
2024-04-11,07:57:49,"('35.71.188.139', 443)","('10.3.141.107', 49156)",[480]
2024-04-11,07:57:51,"('35.71.188.139', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,07:57:51,"('35.71.188.139', 443)","('10.3.141.107', 49157)",[176]
2024-04-11,07:57:51,"('10.3.141.107', 49157)","('35.71.188.139', 443)",[176]
2024-04-11,07:57:51,"('35.71.188.139', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,07:57:52,"('35.71.188.139', 443)","('10.3.141.107', 49157)",[176]
2024-04-11,07:57:52,"('10.3.141.107', 49157)","('35.71.188.139', 443)",[176]
2024-04-11,07:57:52,"('10.3.141.107', 49156)","('35.71.188.139', 443)",[336]
2024-04-11,07:57:52,"('35.71.188.139', 443)","('10.3.141.107', 49156)",[480]
2024-04-11,07:57:52,"('35.71.188.139', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,07:57:52,"('35.71.188.139', 443)","('10.3.141.107', 49157)",[176]
2024-04-11,07:57:52,"('10.3.141.107', 49157)","('35.71.188.139', 443)",[176]
2024-04-11,07:57:52,"('10.3.141.107', 49156)","('35.71.188.139', 443)",[320]
2024-04-11,07:57:52,"('35.71.188.139', 443)","('10.3.141.107', 49156)",[480]
2024-04-11,07:57:52,"('35.71.188.139', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,07:57:52,"('35.71.188.139', 443)","('10.3.141.107', 49157)",[160]
2024-04-11,07:57:52,"('10.3.141.107', 49157)","('35.71.188.139', 443)",[176]
2024-04-11,07:57:52,"('10.3.141.107', 49156)","('35.71.188.139', 443)",[320]
2024-04-11,07:57:52,"('35.71.188.139', 443)","('10.3.141.107', 49156)",[480]
2024-04-11,07:57:52,"('35.71.188.139', 443)","('10.3.141.107', 49157)",[512]
2024-04-11,07:57:52,"('35.71.188.139', 443)","('10.3.141.107', 49157)",[160]
